,u-g,g-r,r-i,i-z,ecc,m4_u,m4_g,m4_r,m4_i,m4_z,petroR50_u,petroR50_r,petroR50_z,petroR90_u,petroR90_r,petroR90_z,class
191,1.6766700000000014,0.7446899999999985,0.3729300000000002,0.2756500000000006,0.832319,2.099846,2.457289,2.61619,2.655644,2.638687,5.628028,5.025039,4.231521,10.34421,11.39506,9.502579,spiral
192,1.7490399999999973,0.8132000000000019,0.36294,0.3031500000000005,0.6039394,2.259547,2.29587,2.299248,2.311126,2.31198,2.435271,1.923066,1.950999,6.824725,6.328269,6.282931,elliptical
193,1.9838099999999983,0.9328199999999996,0.4329,0.2987300000000008,0.7083975,2.508305,2.511304,2.528247,2.518525,2.547131,18.43167,9.212657,8.025188,40.85761,28.99746,27.89042,elliptical
194,1.682019999999998,0.7373700000000003,0.3831900000000008,0.2879000000000005,0.5210929,2.420291,2.62279,2.653221,2.604724,2.612219,11.1977,8.935512,8.414584,26.88866,23.14775,21.69224,spiral
195,1.1882800000000024,0.2345000000000006,0.0781999999999989,0.1267599999999991,0.5541996,2.392262,2.509063,2.606223,2.603474,2.644946,2.474822,3.589779,3.453185,6.843551,9.527234,8.677188,merger
196,1.9921700000000016,0.9431099999999972,0.4213700000000013,0.34267,0.8526142,2.197115,2.319367,2.32877,2.343578,2.305382,2.795455,2.116915,2.055489,7.473917,6.969852,6.720471,elliptical
197,1.9575,0.8287299999999984,0.4028100000000005,0.3126999999999995,0.9452026,2.538558,2.555034,2.538355,2.540764,2.534922,13.20767,10.40506,7.928642,37.48908,34.35241,26.84809,elliptical
198,1.8890100000000007,0.9161200000000012,0.4346499999999995,0.3560099999999995,0.8977969,2.444072,2.41222,2.423543,2.422587,2.420941,6.881123,4.563711,4.265421,17.0554,14.54406,14.32213,elliptical
199,1.2927399999999984,0.6747500000000013,0.3435499999999987,0.2662500000000012,0.9315001,2.430457,2.449605,2.459804,2.489346,2.445657,2.762528,2.954304,2.887156,8.600739,8.313353,8.220436,elliptical
200,2.2041700000000013,0.8393599999999992,0.3991600000000019,0.3131599999999981,0.933152,1.780467,2.151933,2.194505,2.17751,2.1877,1.019255,1.1146,1.104855,1.644946,2.207659,2.151785,merger
201,1.222360000000002,0.5614399999999993,0.3714600000000008,0.2379300000000004,0.6975982,2.468317,2.412765,2.441772,2.499089,2.520594,3.507496,3.633555,3.464027,9.771458,7.943829,8.293654,spiral
202,1.414719999999999,0.4271400000000014,0.2396100000000007,0.0484399999999993,0.7544166,2.086163,2.278139,2.410202,2.495115,2.510297,6.230497,7.524538,4.966697,9.64528,14.64311,9.502443,merger
203,1.2609199999999987,0.5360800000000001,0.4113199999999999,0.2425300000000003,0.308523,2.449898,2.475487,2.3851,2.385255,2.308156,5.218831,10.34239,4.099173,14.1649,31.46295,13.40118,merger
204,1.5429899999999996,0.6445100000000004,0.5131900000000016,0.1663099999999993,0.4239993,1.978789,2.052147,2.063882,2.129836,2.132569,1.4457,3.251216,2.543476,2.202882,8.696029,5.632985,merger
205,0.3578400000000012,-0.1417400000000004,0.1277799999999995,0.0767400000000009,0.5060971,2.138951,2.148507,2.141251,2.147352,2.142195,1.754835,2.236503,2.227514,6.901978,9.332506,9.225747,merger
206,1.831669999999999,0.90517,0.4199100000000015,0.3411299999999997,0.9076862,2.445753,2.415545,2.422371,2.413603,2.427759,7.056595,4.971563,4.365674,20.76924,16.81691,15.46941,elliptical
207,1.796949999999999,0.8020899999999997,0.3921200000000002,0.3491499999999998,0.7443576,1.842059,2.615182,2.536102,2.527452,2.525909,9.369906,7.470297,7.801771,15.67241,14.90902,17.03819,spiral
208,1.96622,0.970019999999998,0.4329900000000002,0.3295300000000001,0.8273657,2.440355,2.424245,2.429337,2.428094,2.41548,5.114875,3.363141,3.076275,13.05354,10.83618,10.38264,elliptical
209,1.2553700000000028,0.4161799999999989,0.3356399999999997,0.1781799999999993,0.5094079,2.161352,2.226354,2.317082,2.376484,2.351029,5.869851,5.563705,4.986694,13.30786,11.79136,10.64672,spiral
210,2.045259999999999,1.0378300000000031,0.438349999999998,0.3627800000000007,0.7030089,2.336639,2.36159,2.346938,2.368109,2.360646,2.607921,2.315458,2.239445,9.325145,7.61209,7.634434,elliptical
211,1.3274699999999982,0.6600900000000003,0.3591200000000007,0.2608999999999994,0.5644745,2.320173,2.255997,2.317161,2.348648,2.377434,4.382338,4.267462,3.775164,8.426259,8.971415,7.925466,spiral
212,0.8266300000000015,0.2628099999999982,0.1949900000000006,0.0382899999999999,0.550019,2.211712,2.300538,2.357936,2.338547,2.326464,1.980993,2.350778,2.281179,4.503221,5.977581,5.355619,merger
213,1.5024699999999989,0.6919700000000013,0.4078300000000006,0.2393900000000002,0.6211151,0.5999607,2.19584,2.264861,2.280817,2.299904,3.716273,4.680891,4.269059,7.936691,12.7931,11.3126,merger
214,1.4061899999999987,0.6494300000000006,0.3350299999999997,0.2278099999999998,0.5256053,2.255148,2.311474,2.350028,2.373623,2.380672,10.89918,8.501918,7.444341,23.98441,21.79528,18.66749,spiral
215,1.8682899999999985,0.8714000000000013,0.4252300000000009,0.3212599999999987,0.7534336,2.389505,2.348249,2.366308,2.372411,2.381443,4.734081,3.610809,3.284837,12.39924,11.73463,10.32675,elliptical
216,1.8788300000000009,0.9133899999999996,0.4268900000000002,0.2956300000000009,0.6822491,2.465194,2.400636,2.408746,2.407305,2.395995,6.011673,4.337948,3.542497,17.27922,14.37347,11.89132,elliptical
217,1.7864199999999997,0.8130100000000002,0.3914200000000001,0.2885099999999987,0.9262974,2.491351,2.422186,2.396108,2.407906,2.410653,3.883301,2.805369,2.611037,9.434682,8.473306,7.753644,elliptical
218,1.892599999999998,0.91244,0.4561600000000005,0.2688099999999984,0.4000014,0.587806,2.265762,2.220227,2.25809,2.192399,2.120813,4.372939,2.529308,3.708065,11.92393,7.415026,merger
219,1.3919399999999982,0.6550800000000017,0.3819999999999997,0.2879100000000001,0.647022,2.236456,2.280474,2.329303,2.292831,2.275034,4.306533,3.279487,2.454019,11.0757,9.166889,7.608987,spiral
220,1.2593500000000013,0.4833800000000003,0.3353199999999994,0.1949100000000001,0.2268939,2.228177,2.212954,2.242522,2.277312,2.288014,3.892346,4.09293,3.399545,9.146187,10.39721,9.559367,merger
221,2.1280900000000003,0.9186499999999996,0.421289999999999,0.2905300000000004,0.8506843,2.343521,2.443511,2.425142,2.417005,2.406447,5.153286,4.659659,3.909714,13.55037,14.01764,11.60408,elliptical
222,1.5431300000000014,0.7679000000000009,0.3648799999999994,0.30687,0.5781136,2.222812,2.239348,2.340478,2.383308,2.448309,6.028032,5.556737,5.362679,9.984623,10.72217,10.43207,spiral
223,0.9399499999999996,0.4439500000000009,0.4248200000000004,-0.0177499999999994,0.3684736,2.244519,2.224153,2.301805,2.441788,2.404027,3.544056,3.399848,2.770254,8.133285,8.744202,8.116343,merger
224,1.3496099999999984,0.5252000000000017,0.2874099999999995,0.1035099999999999,0.9056176,2.128137,2.204878,2.295357,2.343599,2.379155,9.849186,10.93608,9.681112,17.118,22.28153,19.64644,spiral
225,1.681099999999999,0.7024299999999997,0.3763699999999996,0.2499800000000007,0.7549148,2.304444,2.37121,2.455079,2.460861,2.421185,7.173869,9.592639,6.18393,19.42907,26.42426,17.45359,merger
226,1.9723299999999997,0.9268099999999996,0.4121199999999998,0.3343799999999994,0.6641971,2.357831,2.381383,2.398237,2.400816,2.39665,5.182947,3.750646,3.607571,14.78262,12.91724,12.81084,elliptical
227,1.0294099999999986,0.4841099999999994,0.3055700000000012,0.2522899999999985,0.5505208,2.37199,2.388859,2.403924,2.422121,2.423656,3.548005,3.879543,3.506557,9.55603,10.95833,10.57209,merger
228,2.20299,1.1091499999999996,0.4954400000000021,0.3378499999999995,0.6395054,2.155215,2.276375,2.231204,2.215275,2.159486,1.364435,1.962775,1.593895,2.448565,6.143636,5.712333,merger
229,1.905710000000001,0.8641200000000016,0.3805899999999997,0.3120899999999995,0.8657967,2.552589,2.435711,2.441555,2.436133,2.438771,11.35912,6.984591,6.65807,28.75263,23.65844,22.49544,elliptical
230,1.9085399999999983,0.8744699999999987,0.4133800000000018,0.3181799999999999,0.7044729,2.217001,2.436052,2.396168,2.353319,2.371598,5.099107,5.009812,2.331486,7.439429,10.22742,5.785926,merger
231,1.1751000000000005,0.5782000000000025,0.3407899999999983,0.1770199999999988,0.6858703,2.197055,2.241443,2.233138,2.292515,2.334113,4.812276,3.854034,3.026188,8.346854,8.220987,5.854835,spiral
232,1.73236,0.8669100000000007,0.3886100000000017,0.3513999999999999,0.8909362,2.070508,2.40647,2.636605,2.728628,2.717607,6.096132,4.863008,4.463229,11.32793,10.09367,10.01099,spiral
